StudyID,SampID,Ecosystem,Latitude,Longitude,Cdepth,carbon_stock_30cm,carbon_stock_50cm,carbon_stock_100cm
50,1063,EM,49.05003,-123.03683,60.06,83.5,99.43,NA
50,1064,EM,49.05031,-123.03469,48.1,149.45,171.18,NA
50,1065,EM,49.048,-123.04686,35,103.07,117.38,NA
50,1066,EM,49.04725,-123.04589,78,166.84,302.92,550.06
50,1067,EM,49.04697,-123.04689,52.11,140.67,200.97,NA
50,1068,EM,49.04811,-123.04428,26.25,97.01,NA,NA
50,1069,EM,49.04878,-123.04572,21,83.37,NA,NA
50,1070,EM,49.04656,-123.04444,23,39.92,NA,NA
50,1071,EM,49.04753,-123.04361,23.04,65.91,NA,NA
50,1072,EM,49.04658,-123.04183,40.02,58.07,76.6,NA
50,1073,EM,49.03,-123.0435,42.05,92.36,122.03,NA
50,1074,EM,49.04339,-123.04869,55,212.14,299.25,NA
18,705,SG,51.6735,-128.118,83,6.8,12.05,30.83
18,706,SG,51.6788,-128.1148,28,7.08,NA,NA
18,707,SG,51.6726,-128.1172,30,7.39,NA,NA
18,708,SG,51.6749,-128.1237,30,7.89,NA,NA
18,709,SG,51.6745,-128.1178,29,7.94,NA,NA
18,710,SG,51.6735,-128.118,25,9.03,NA,NA
18,711,SG,51.6748,-128.1195,29.5,8.6,NA,NA
18,712,FL,51.678,-128.119,30,6.92,NA,NA
18,713,FL,51.678,-128.119,25,6.76,NA,NA
18,714,FL,51.678,-128.119,30,7.66,NA,NA
22,535,EM,49.0875,-125.7324,88,48.17,64.7,105.3
22,536,EM,49.0876,-125.7326,63.3,53.7,69.13,NA
22,537,EM,49.0876,-125.7327,66,79.16,146.34,NA
22,538,EM,49.0877,-125.7328,37,50.14,62.33,NA
22,542,EM,49.1411,-125.6696,30,58.09,NA,NA
22,543,EM,49.1414,-125.6662,62,93.93,157.03,NA
22,544,EM,49.1414,-125.6663,40,108.15,156.47,NA
22,545,EM,49.1415,-125.6664,24,112.9,NA,NA
22,547,EM,49.1416,-125.6664,30,86.01,NA,NA
22,548,EM,49.1414,-125.6662,30,133.53,NA,NA
22,549,EM,49.1414,-125.6661,41.3,94.2,169.56,NA
22,550,EM,49.1414,-125.6661,30,76.39,NA,NA
22,558,EM,49.137,-125.6708,27.1,75.86,NA,NA
22,560,EM,49.1371,-125.6709,27,30.47,NA,NA
22,561,EM,49.1372,-125.671,20,40.04,NA,NA
22,564,EM,49.1301,-125.6991,20,236.78,NA,NA
22,565,EM,49.1301,-125.8869,45,59.34,104.07,NA
22,566,EM,49.1302,-125.8869,28.8,75.61,NA,NA
22,567,EM,49.1299,-125.8866,32.1,74.72,NA,NA
22,568,EM,49.1302,-125.8867,25.5,91.19,NA,NA
23,792,SG,49.2176,-125.9302,51,13.55,22.81,NA
23,793,SG,49.2176,-125.9302,30,15.46,NA,NA
23,794,SG,49.2176,-125.9302,36,11.25,16.81,NA
23,795,SG,49.2176,-125.9302,35,14.38,20.77,NA
23,796,SG,49.2178,-125.9306,31,14.55,NA,NA
23,797,SG,49.2178,-125.93,31,11.61,NA,NA
23,798,SG,49.1113,-125.7698,39,14.01,23.85,NA
23,799,SG,49.1113,-125.7698,34,19.57,NA,NA
23,800,SG,49.1113,-125.7698,43,15.48,25.25,NA
23,801,SG,49.1113,-125.7698,47,13.98,23.59,NA
23,802,SG,49.1113,-125.7698,35,14.58,25.69,NA
23,803,SG,49.1113,-125.7698,40,19.96,33.6,NA
23,804,SG,49.1392,-125.6722,30,31.03,NA,NA
23,805,SG,49.1392,-125.6722,32,30.86,NA,NA
23,806,SG,49.1392,-125.6722,39,30.81,47.83,NA
23,807,SG,49.1392,-125.6722,27,28,NA,NA
23,808,SG,49.1392,-125.6722,24,21.8,NA,NA
23,809,SG,49.1392,-125.6722,21,27.22,NA,NA
23,833,FL,49.2176,-125.9302,33,11.45,NA,NA
23,834,FL,49.1113,-125.7698,28,16.34,NA,NA
23,835,FL,49.1392,-125.6722,24,22.77,NA,NA
76,1564,EM,48.76458,-123.62883,20,48.4,NA,NA
76,1565,FL,48.76417,-123.62717,20,42.35,NA,NA
76,1566,FL,48.7635,-123.623,20,35.52,NA,NA
76,1568,EM,48.75867,-123.63467,20,53.73,NA,NA
76,1569,FL,48.758,-123.63183,20,29.19,NA,NA
76,1570,FL,48.75717,-123.63033,20,18.07,NA,NA
76,1574,EM,48.74789,-123.63752,20,118.13,NA,NA
76,1575,EM,48.74789,-123.63752,20,44.99,NA,NA
76,1576,FL,48.76317,-123.63567,20,29.24,NA,NA
76,1577,FL,48.76283,-123.61681,20,33.71,NA,NA
76,1578,FL,48.761,-123.626,20,29.6,NA,NA
76,1579,SG,48.76117,-123.62483,20,34.28,NA,NA
76,1580,SG,48.7615,-123.62467,20,46.36,NA,NA
76,1581,SG,48.762,-123.62433,20,30.79,NA,NA
22,552,EM,49.2791,-125.9075,46,107.67,173.18,NA
22,553,EM,49.279,-125.9076,30,75.73,NA,NA
22,554,EM,49.2794,-125.9093,51,82.28,126.2,NA
22,555,EM,49.2792,-125.9093,38,87.6,124.98,NA
22,556,EM,49.2789,-125.911,40,101.16,139.47,NA
22,557,EM,49.2788,-125.9109,30,94.69,NA,NA
18,695,SG,51.9228,-128.4645,80,8.1,16.68,24.39
18,696,SG,51.9242,-128.4619,25,7.9,NA,NA
18,697,SG,51.9227,-128.4628,30,11.09,NA,NA
18,698,SG,51.9224,-128.4663,30,8.19,NA,NA
18,699,SG,51.9239,-128.4675,27,10.42,NA,NA
18,700,SG,51.9228,-128.4645,30,8.34,NA,NA
18,701,SG,51.924,-128.4641,30,9.33,NA,NA
18,703,FL,51.923,-128.46,30,11.53,NA,NA
18,704,FL,51.923,-128.46,30,7.34,NA,NA
18,665,SG,51.7803,-127.8709,50,6.91,12.25,NA
18,666,SG,51.7815,-127.8657,23,16.3,NA,NA
18,667,SG,51.7802,-127.8706,24.5,14.6,NA,NA
18,668,SG,51.7793,-127.8719,25,11.1,NA,NA
18,669,SG,51.7817,-127.866,25,14.95,NA,NA
18,670,SG,51.7803,-127.8709,30,39.34,NA,NA
18,671,SG,51.7793,-127.8721,30,16.53,NA,NA
18,672,FL,51.781,-127.868,22,10.43,NA,NA
18,673,FL,51.781,-127.868,20,21.85,NA,NA
18,674,FL,51.781,-127.868,23,10.08,NA,NA
4,21,SG,49.66555,-124.91283,45,22.57,61.4,NA
4,22,FL,49.66605,-124.91022,52.5,11.06,26.26,NA
4,23,SG,49.67005,-124.93853,58.5,22.03,28.48,NA
4,24,SG,49.65835,-124.95398,50,17.37,39.55,NA
4,25,SG,49.66023,-124.9439,55,12.31,21.7,NA
4,26,FL,49.6668,-124.93478,45,15.18,NA,NA
4,27,SG,49.65865,-124.9423,45,22.04,46.28,NA
4,28,SG,49.66513,-124.91967,50,21.2,25.96,NA
4,29,SG,49.65162,-124.93242,55,56.85,87.16,NA
18,685,SG,52.0614,-128.4132,69,23.48,44.95,NA
18,686,SG,52.0611,-128.4134,28.5,37.15,NA,NA
18,687,SG,52.0621,-128.4139,30,34.27,NA,NA
18,688,SG,52.0615,-128.4122,20,49.14,NA,NA
18,689,SG,52.0614,-128.4126,28,59.69,NA,NA
18,690,SG,52.0614,-128.4132,25,32.44,NA,NA
18,691,SG,52.0616,-128.4137,25,10.29,NA,NA
18,692,FL,52.062,-128.413,29,8.73,NA,NA
18,693,FL,52.062,-128.413,30,21.75,NA,NA
18,694,FL,52.062,-128.413,30,36.45,NA,NA
18,655,SG,51.6453,-128.1193,51.5,29.32,50.6,NA
18,656,SG,51.6471,-128.1204,27,24.65,NA,NA
18,657,SG,51.6466,-128.1198,24,16.1,NA,NA
18,658,SG,51.6466,-128.1191,27.5,25.28,NA,NA
18,659,SG,51.6459,-128.1194,22,28.93,NA,NA
18,660,SG,51.6453,-128.1193,25,25.59,NA,NA
18,661,SG,51.6447,-128.1198,25,24.38,NA,NA
18,662,FL,51.649,-128.119,22,36.1,NA,NA
18,663,FL,51.649,-128.119,26,19.19,NA,NA
18,664,FL,51.649,-128.119,26,22.59,NA,NA
19,777,SG,51.646,-128.119,80,24.61,44.55,127.54
19,778,SG,51.646,-128.119,74,21.55,28.47,NA
19,779,SG,51.646,-128.119,70,20.39,36.1,NA
9,391,EM,54.18008,-130.18214,85,113.61,175.73,283.97
9,392,EM,54.18011,-130.1823,90,55.13,63.35,87.1
9,393,EM,54.18072,-130.18513,50,49.48,120.4,NA
9,394,EM,54.18108,-130.18519,75,82.03,134.01,263.95
9,395,EM,54.18097,-130.18494,75,85.9,131.29,244.78
9,396,EM,54.16811,-130.15836,70,113.7,178.42,NA
9,397,EM,54.16805,-130.1585,90,67.84,86.29,215.4
9,398,EM,54.1683,-130.15872,80,45.33,73.34,147
9,399,EM,54.16633,-130.15577,80,80.54,130.94,232.34
9,400,EM,54.17294,-130.16883,100,74.05,129.09,252.25
9,401,EM,54.17291,-130.16897,100,61.63,88.54,157.05
9,402,EM,54.17286,-130.16905,100,31.1,54.28,107.61
9,403,EM,54.17089,-130.18833,100,102.91,153.59,289.6
9,404,EM,54.17103,-130.18833,100,90.27,143.36,267.5
9,405,EM,54.17128,-130.18819,100,40.8,62.47,119.59
9,406,EM,54.17024,-130.18661,100,61.17,80.78,143.06
9,407,EM,54.17008,-130.18672,100,67.7,108.11,208.81
9,408,EM,54.17011,-130.18686,100,135.16,206.42,323.87
9,409,EM,54.16933,-130.1853,100,117.34,183.14,301.92
9,410,EM,54.16955,-130.18533,100,72.19,113.59,256.39
9,411,EM,54.16958,-130.18511,100,55.22,87.48,139.23
9,412,EM,54.16341,-130.15108,100,95.47,153.67,291.28
9,413,EM,54.16327,-130.15144,100,79.07,132.32,227.71
9,414,EM,54.16166,-130.14941,100,91.89,175.93,333.98
9,415,EM,54.16166,-130.14958,100,71.2,108.32,223.48
9,416,EM,54.15858,-130.16616,100,145.29,216.58,391.4
9,417,EM,54.15852,-130.16586,100,80.8,127.47,227.04
9,418,EM,54.15858,-130.16561,100,53.29,84.71,157.13
9,419,EM,54.17883,-130.1803,100,116.04,196.65,384.92
9,420,EM,54.17891,-130.18011,100,85.19,134.77,175.3
9,421,EM,54.17902,-130.17991,90,60.55,170.29,216.65
9,422,EM,54.16308,-130.15194,100,57.18,95.5,217.32
9,423,EM,54.16163,-130.1498,100,45.04,81.2,136.87
7,723,SG,54.19,-130.24,25,13.64,NA,NA
7,724,SG,54.19,-130.24,20,6.75,NA,NA
7,725,SG,54.19,-130.24,25,8.93,NA,NA
18,675,SG,51.8087,-128.2359,59,33.2,50.73,NA
18,676,SG,51.8099,-128.2355,30,25.67,NA,NA
18,677,SG,51.81,-128.2347,30,10.61,NA,NA
18,678,SG,51.8094,-128.2338,30,10.66,NA,NA
18,679,SG,51.8092,-128.2352,29,35.96,NA,NA
18,680,SG,51.8087,-128.2359,30,44.92,NA,NA
18,681,SG,51.8083,-128.2365,30,23.81,NA,NA
18,682,FL,51.809,-128.236,30,22.19,NA,NA
18,683,FL,51.809,-128.236,25,17.33,NA,NA
18,684,FL,51.809,-128.236,30,27.71,NA,NA
7,720,SG,49,-123.1,25,19.08,NA,NA
7,721,SG,49,-123.1,25,17.82,NA,NA
7,722,SG,49,-123.1,25,13.85,NA,NA
,,,,,,,,
,,,,,,,,
,,,Lat,Long,,,,
,,,49.05003,-123.03683,,,,
,,,49.05031,-123.03469,,,,
,,,49.048,-123.04686,,,,
,,,49.04725,-123.04589,,,,
,,,49.04697,-123.04689,,,,
,,,49.04811,-123.04428,,,,
,,,49.04878,-123.04572,,,,
,,,49.04656,-123.04444,,,,
,,,49.04753,-123.04361,,,,
,,,49.04658,-123.04183,,,,
,,,49.03,-123.0435,,,,
,,,49.04339,-123.04869,,,,
,,,51.6735,-128.118,,,,
,,,51.6788,-128.1148,,,,
,,,51.6726,-128.1172,,,,
,,,51.6749,-128.1237,,,,
,,,51.6745,-128.1178,,,,
,,,51.6735,-128.118,,,,
,,,51.6748,-128.1195,,,,
,,,51.678,-128.119,,,,
,,,51.678,-128.119,,,,
,,,51.678,-128.119,,,,
,,,49.0875,-125.7324,,,,
,,,49.0876,-125.7326,,,,
,,,49.0876,-125.7327,,,,
,,,49.0877,-125.7328,,,,
,,,49.1411,-125.6696,,,,
,,,49.1414,-125.6662,,,,
,,,49.1414,-125.6663,,,,
,,,49.1415,-125.6664,,,,
,,,49.1416,-125.6664,,,,
,,,49.1414,-125.6662,,,,
,,,49.1414,-125.6661,,,,
,,,49.1414,-125.6661,,,,
,,,49.137,-125.6708,,,,
,,,49.1371,-125.6709,,,,
,,,49.1372,-125.671,,,,
,,,49.1301,-125.6991,,,,
,,,49.1301,-125.8869,,,,
,,,49.1302,-125.8869,,,,
,,,49.1299,-125.8866,,,,
,,,49.1302,-125.8867,,,,
,,,49.2176,-125.9302,,,,
,,,49.2176,-125.9302,,,,
,,,49.2176,-125.9302,,,,
,,,49.2176,-125.9302,,,,
,,,49.2178,-125.9306,,,,
,,,49.2178,-125.93,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.2176,-125.9302,,,,
,,,49.1113,-125.7698,,,,
,,,49.1392,-125.6722,,,,
,,,48.76458,-123.62883,,,,
,,,48.76417,-123.62717,,,,
,,,48.7635,-123.623,,,,
,,,48.75867,-123.63467,,,,
,,,48.758,-123.63183,,,,
,,,48.75717,-123.63033,,,,
,,,48.74789,-123.63752,,,,
,,,48.74789,-123.63752,,,,
,,,48.76317,-123.63567,,,,
,,,48.76283,-123.61681,,,,
,,,48.761,-123.626,,,,
,,,48.76117,-123.62483,,,,
,,,48.7615,-123.62467,,,,
,,,48.762,-123.62433,,,,
,,,49.2791,-125.9075,,,,
,,,49.279,-125.9076,,,,
,,,49.2794,-125.9093,,,,
,,,49.2792,-125.9093,,,,
,,,49.2789,-125.911,,,,
,,,49.2788,-125.9109,,,,
,,,51.9228,-128.4645,,,,
,,,51.9242,-128.4619,,,,
,,,51.9227,-128.4628,,,,
,,,51.9224,-128.4663,,,,
,,,51.9239,-128.4675,,,,
,,,51.9228,-128.4645,,,,
,,,51.924,-128.4641,,,,
,,,51.923,-128.46,,,,
,,,51.923,-128.46,,,,
,,,51.7803,-127.8709,,,,
,,,51.7815,-127.8657,,,,
,,,51.7802,-127.8706,,,,
,,,51.7793,-127.8719,,,,
,,,51.7817,-127.866,,,,
,,,51.7803,-127.8709,,,,
,,,51.7793,-127.8721,,,,
,,,51.781,-127.868,,,,
,,,51.781,-127.868,,,,
,,,51.781,-127.868,,,,
,,,49.66555,-124.91283,,,,
,,,49.66605,-124.91022,,,,
,,,49.67005,-124.93853,,,,
,,,49.65835,-124.95398,,,,
,,,49.66023,-124.9439,,,,
,,,49.6668,-124.93478,,,,
,,,49.65865,-124.9423,,,,
,,,49.66513,-124.91967,,,,
,,,49.65162,-124.93242,,,,
,,,52.0614,-128.4132,,,,
,,,52.0611,-128.4134,,,,
,,,52.0621,-128.4139,,,,
,,,52.0615,-128.4122,,,,
,,,52.0614,-128.4126,,,,
,,,52.0614,-128.4132,,,,
,,,52.0616,-128.4137,,,,
,,,52.062,-128.413,,,,
,,,52.062,-128.413,,,,
,,,52.062,-128.413,,,,
,,,51.6453,-128.1193,,,,
,,,51.6471,-128.1204,,,,
,,,51.6466,-128.1198,,,,
,,,51.6466,-128.1191,,,,
,,,51.6459,-128.1194,,,,
,,,51.6453,-128.1193,,,,
,,,51.6447,-128.1198,,,,
,,,51.649,-128.119,,,,
,,,51.649,-128.119,,,,
,,,51.649,-128.119,,,,
,,,51.646,-128.119,,,,
,,,51.646,-128.119,,,,
,,,51.646,-128.119,,,,
,,,54.18008,-130.18214,,,,
,,,54.18011,-130.1823,,,,
,,,54.18072,-130.18513,,,,
,,,54.18108,-130.18519,,,,
,,,54.18097,-130.18494,,,,
,,,54.16811,-130.15836,,,,
,,,54.16805,-130.1585,,,,
,,,54.1683,-130.15872,,,,
,,,54.16633,-130.15577,,,,
,,,54.17294,-130.16883,,,,
,,,54.17291,-130.16897,,,,
,,,54.17286,-130.16905,,,,
,,,54.17089,-130.18833,,,,
,,,54.17103,-130.18833,,,,
,,,54.17128,-130.18819,,,,
,,,54.17024,-130.18661,,,,
,,,54.17008,-130.18672,,,,
,,,54.17011,-130.18686,,,,
,,,54.16933,-130.1853,,,,
,,,54.16955,-130.18533,,,,
,,,54.16958,-130.18511,,,,
,,,54.16341,-130.15108,,,,
,,,54.16327,-130.15144,,,,
,,,54.16166,-130.14941,,,,
,,,54.16166,-130.14958,,,,
,,,54.15858,-130.16616,,,,
,,,54.15852,-130.16586,,,,
,,,54.15858,-130.16561,,,,
,,,54.17883,-130.1803,,,,
,,,54.17891,-130.18011,,,,
,,,54.17902,-130.17991,,,,
,,,54.16308,-130.15194,,,,
,,,54.16163,-130.1498,,,,
,,,54.19,-130.24,,,,
,,,54.19,-130.24,,,,
,,,54.19,-130.24,,,,
,,,51.8087,-128.2359,,,,
,,,51.8099,-128.2355,,,,
,,,51.81,-128.2347,,,,
,,,51.8094,-128.2338,,,,
,,,51.8092,-128.2352,,,,
,,,51.8087,-128.2359,,,,
,,,51.8083,-128.2365,,,,
,,,51.809,-128.236,,,,
,,,51.809,-128.236,,,,
,,,51.809,-128.236,,,,
,,,49,-123.1,,,,
,,,49,-123.1,,,,
,,,49,-123.1,,,,
,,,,,,,,
,,,,,,,,
,,,Lat,Long,,,,
,,,49.05003,-123.03683,,,,
,,,49.05031,-123.03469,,,,
,,,49.048,-123.04686,,,,
,,,49.04725,-123.04589,,,,
,,,49.04697,-123.04689,,,,
,,,49.04811,-123.04428,,,,
,,,49.04878,-123.04572,,,,
,,,49.04656,-123.04444,,,,
,,,49.04753,-123.04361,,,,
,,,49.04658,-123.04183,,,,
,,,49.03,-123.0435,,,,
,,,49.04339,-123.04869,,,,
,,,51.6735,-128.118,,,,
,,,51.6788,-128.1148,,,,
,,,51.6726,-128.1172,,,,
,,,51.6749,-128.1237,,,,
,,,51.6745,-128.1178,,,,
,,,51.6735,-128.118,,,,
